# Para-hydrogen fraction, extracted from
# Conrath & Gierasch, 1984, Icarus. Figure 4.
# Relevent pressure level is between 0.2 ~ 0.3 bar
# Temperature is about 120 K
# Unsure about whether planetographic and planetocentric latitude is used
# latitude (degree), para-hydrogen fraction
-56.732, 0.325
-56.538, 0.323
-56.344, 0.316
-55.956, 0.325
-55.956, 0.308
-55.926, 0.333
-54.890, 0.326
-54.890, 0.305
-54.793, 0.318
-54.502, 0.312
-54.425, 0.326
-54.425, 0.305
-54.405, 0.316
-54.244, 0.318
-54.018, 0.312
-53.921, 0.319
-53.501, 0.318
-53.436, 0.319
-52.855, 0.307
-52.370, 0.324
-52.273, 0.312
-51.886, 0.324
-51.595, 0.313
-51.401, 0.314
-51.401, 0.309
-51.110, 0.313
-51.013, 0.308
-50.916, 0.314
-50.916, 0.309
-50.626, 0.321
-50.587, 0.308
-50.141, 0.321
-50.123, 0.329
-49.656, 0.320
-49.656, 0.298
-49.559, 0.312
-49.172, 0.298
-48.978, 0.310
-48.881, 0.308
-48.396, 0.308
-48.203, 0.312
-47.621, 0.303
-47.233, 0.316
-46.846, 0.299
-46.264, 0.311
-45.973, 0.306
-45.683, 0.317
-45.683, 0.313
-45.683, 0.311
-45.489, 0.324
-45.489, 0.306
-45.276, 0.314
-44.713, 0.324
-44.229, 0.314
-44.229, 0.307
-44.229, 0.305
-43.764, 0.307
-43.764, 0.305
-43.744, 0.314
-43.453, 0.304
-43.066, 0.317
-43.066, 0.309
-42.969, 0.305
-42.969, 0.304
-42.581, 0.317
-42.581, 0.309
-42.484, 0.302
-42.407, 0.308
-42.387, 0.311
-42.161, 0.305
-42.019, 0.314
-42.000, 0.302
-41.418, 0.305
-41.321, 0.300
-41.224, 0.302
-41.127, 0.303
-40.934, 0.299
-40.856, 0.300
-40.740, 0.316
-40.643, 0.305
-40.643, 0.303
-40.507, 0.299
-40.320, 0.316
-39.964, 0.312
-39.964, 0.311
-39.964, 0.308
-39.577, 0.313
-39.577, 0.296
-39.480, 0.312
-39.480, 0.311
-39.480, 0.309
-39.480, 0.308
-39.447, 0.316
-39.286, 0.303
-39.189, 0.304
-39.111, 0.313
-39.092, 0.296
-38.724, 0.304
-38.704, 0.315
-38.704, 0.308
-38.685, 0.314
-38.317, 0.299
-37.541, 0.303
-37.444, 0.300
-37.348, 0.294
-36.960, 0.300
-36.766, 0.303
-36.669, 0.312
-36.669, 0.304
-36.184, 0.312
-36.184, 0.304
-36.032, 0.303
-35.991, 0.310
-35.838, 0.309
-35.312, 0.305
-35.021, 0.309
-34.847, 0.305
-34.288, 0.309
-34.149, 0.302
-33.706, 0.302
-33.568, 0.306
-33.535, 0.300
-33.471, 0.298
-33.374, 0.307
