# Fitted Para-hydrogen fraction, extracted from
# Conrath & Gierasch, 1984, Icarus. Figure 6.
# Relevent pressure level is between 0.2 ~ 0.3 bar
# Temperature is about 120 K
# Unsure about whether planetographic and planetocentric latitude is used
# latitude (degree), para-hydrogen fraction

58.934, 0.325
56.756, 0.322
54.297, 0.319
51.837, 0.315
49.236, 0.312
46.091, 0.312
43.077, 0.310
40.048, 0.307
36.910, 0.308
33.796, 0.311
30.654, 0.311
28.052, 0.307
25.735, 0.304
23.417, 0.301
20.810, 0.297
17.648, 0.295
15.054, 0.293
12.449, 0.289
9.286, 0.287
6.145, 0.287
3.019, 0.289
-0.096, 0.291
-3.209, 0.294
-6.326, 0.297
-9.435, 0.300
-12.569, 0.301
-15.728, 0.299
-18.878, 0.298
-22.011, 0.299
-24.546, 0.303
-27.099, 0.305
-30.244, 0.304
-33.377, 0.305
-36.500, 0.307
-39.632, 0.308
-42.745, 0.311
-45.872, 0.313
-48.856, 0.314
-51.820, 0.318
-54.084, 0.320
